Country,Code,ContinentCode,Year,Economic growth: the rate of change of real GDP,Gross Domestic Product billions of 2010 U.S. dollars,Unemployment rate,Exports of goods and services billion USD,Exports of goods and services annual growth,Imports of goods and services billion USD,Current account balance billion USD,Research and development expenditure percent of GDP,Public spending on education percent of GDP
Argentina,ARG,SA,2017,2.82,598.8,8.35,72.86,2.62,89.91,-31.15,0.56,5.45
Argentina,ARG,SA,2018,-2.62,583.1,9.22,75.77,0.65,85.68,-27.08,0.49,4.88
Argentina,ARG,SA,2019,-2,571.5,9.84,80.26,9.75,65.85,-3.49,0.46,4.72
Argentina,ARG,SA,2020,-9.94,514.6,11.46,64.04,-17.71,52.47,3.12,,5.02
Argentina,ARG,SA,2021,10.4,568.1,8.74,87.87,9.22,72.82,6.71,,
Argentina,ARG,SA,2022,5.24,597.9,6.49,106.17,5.71,96.8,-3.79,,
Australia,AUS,OC,2017,2.28,1419.1,5.59,281.62,5.5,274.85,-35.57,1.88,5.14
Australia,AUS,OC,2018,2.88,1460,5.3,312.41,4.11,307.31,-31.61,,5.12
Australia,AUS,OC,2019,2.17,1491.7,5.16,336.24,3.9,301.77,6.18,1.83,5.14
Australia,AUS,OC,2020,-0.05,1491,6.46,318.58,-1.65,268.38,32.52,,6.1
Australia,AUS,OC,2021,2.24,1524.3,5.12,342.76,-8.37,276.3,50.8,,
Australia,AUS,OC,2022,3.62,1579.5,3.66,432.46,-0.1,334.11,19.55,,
Austria,AUT,EU,2017,2.26,398.4,5.5,225.53,4.9,212.33,5.65,3.06,5.37
Austria,AUT,EU,2018,2.43,408,4.85,252.35,5.2,238.69,4.38,3.09,5.22
Austria,AUT,EU,2019,1.52,414.2,4.49,247.91,3.98,231.78,10.64,3.13,5.21
Austria,AUT,EU,2020,-6.45,387.5,5.36,224.63,-10.65,211.57,12.9,3.2,5.07
Austria,AUT,EU,2021,4.56,405.1,6.18,268.53,9.59,265.75,1.63,,
Austria,AUT,EU,2022,5,425.4,4.71,286.56,11.11,279.72,5.2,,
Belgium,BEL,EU,2017,1.62,475.8,7.09,418.21,5.47,412.99,3.52,2.67,6.43
Belgium,BEL,EU,2018,1.79,484.3,5.95,451.37,1.08,453.19,-4.74,2.86,6.38
Belgium,BEL,EU,2019,2.26,495.3,5.36,441.54,2.39,438.17,0.51,3.16,6.34
Belgium,BEL,EU,2020,-5.36,468.7,5.55,417.26,-5.03,408.27,5.7,3.48,6.71
Belgium,BEL,EU,2021,6.29,498.2,6.26,516.06,11.26,509.81,2.92,,
Belgium,BEL,EU,2022,3.25,514.3,5.63,551.57,5.07,565.56,-20.25,,
Brazil,BRA,SA,2017,1.32,1766.2,12.93,258.33,4.91,243.51,-25.34,1.12,6.32
Brazil,BRA,SA,2018,1.78,1797.7,12.46,280.54,4.05,272.99,-54.79,1.17,6.09
Brazil,BRA,SA,2019,1.22,1819.7,12.05,264.56,-2.56,276.63,-68.02,1.21,5.96
Brazil,BRA,SA,2020,-3.28,1760.1,13.93,242.87,-2.29,233.94,-28.21,,
Brazil,BRA,SA,2021,4.99,1847.9,13.34,322.69,5.87,307.16,-46.36,,
Brazil,BRA,SA,2022,2.9,1901.5,9.46,384.89,5.54,370.47,-57,,
Canada,CAN,NA,2017,3.04,1619.9,6.34,518.77,1.45,554.92,-46.24,1.69,4.96
Canada,CAN,NA,2018,2.78,1664.9,5.83,557.71,3.83,591.34,-41.15,1.68,4.89
Canada,CAN,NA,2019,1.89,1696.3,5.66,564.14,2.71,589.71,-34.03,1.59,4.77
Canada,CAN,NA,2020,-5.07,1610.2,9.46,489.02,-8.85,525.93,-35.37,1.7,5.17
Canada,CAN,NA,2021,5.01,1690.9,7.46,618.74,1.36,619.57,-5.45,,
Canada,CAN,NA,2022,3.4,1748.4,5.21,721.52,2.59,717.79,-7.95,,
Chile,CHL,SA,2017,1.36,250.1,6.95,78.3,-0.96,76.54,-7.62,0.36,5.42
Chile,CHL,SA,2018,3.99,260.1,7.21,84.28,4.89,87.58,-13.27,0.37,5.43
Chile,CHL,SA,2019,0.74,262,7.27,77.54,-2.55,82.72,-14.51,0.34,5.62
Chile,CHL,SA,2020,-6.15,245.9,11.14,79.54,-0.91,68.17,-4.95,,
Chile,CHL,SA,2021,11.74,274.8,9.35,101.28,-1.37,103.7,-23.19,,
Chile,CHL,SA,2022,2.44,281.5,7.78,107.38,1.37,118.45,-27.1,,
China,CHN,AS,2017,6.95,12640.3,4.47,2424.22,0.101933208,2208.52,188.68,2.12,3.67
China,CHN,AS,2018,6.75,13493.4,4.31,2655.61,0.095449258,2564.12,24.13,2.14,3.54
China,CHN,AS,2019,5.95,14296.4,4.56,2628.94,-0.01004289,2496.15,102.91,2.24,3.54
China,CHN,AS,2020,2.24,14616.4,5,2729.88,0.038395703,2374.74,248.84,2.4,3.57
China,CHN,AS,2021,8.45,15851.1,4.55,3554.11,0.301929023,3093.28,352.89,,
China,CHN,AS,2022,2.99,16325.2,4.89,3714.25,0.045057694,3137.59,401.86,,
Denmark,DNK,EU,2017,2.82,321.3,5.83,182.92,4.81,159.09,26.73,2.93,7.75
Denmark,DNK,EU,2018,1.99,327.7,5.13,201.83,3.35,179.9,25.76,2.97,6.79
Denmark,DNK,EU,2019,1.49,332.6,5.02,203.21,4.51,178.72,30.55,2.89,6.89
Denmark,DNK,EU,2020,-1.99,326,5.64,195.12,-6.31,172.58,27.99,2.96,6.38
Denmark,DNK,EU,2021,4.86,341.8,5.06,237.62,7.99,209.2,35.87,,
Denmark,DNK,EU,2022,3.82,354.8,4.17,274.07,8.61,232.05,51.46,,
Finland,FIN,EU,2017,3.19,248.8,8.64,95.99,8.82,95.88,-1.95,2.73,6.36
Finland,FIN,EU,2018,1.14,251.7,7.36,106.06,1.5,109.52,-5.16,2.76,6.28
Finland,FIN,EU,2019,1.22,254.7,6.69,107.09,6.67,106.67,-0.88,2.8,6.42
Finland,FIN,EU,2020,-2.35,248.7,7.76,97.3,-7.76,97.09,1.8,2.94,5.88
Finland,FIN,EU,2021,3.05,256.3,7.61,117.23,6,116.96,1.45,,
Finland,FIN,EU,2022,2.08,261.7,6.8,126.07,1.72,133.8,-11.06,,
France,FRA,EU,2017,2.29,2522.4,9.41,803.16,4.39,830.79,-17.98,2.2,5.45
France,FRA,EU,2018,1.87,2569.5,9.02,885.11,4.53,913.32,-24.38,2.2,5.41
