country,Code,ContinentCode,year,GDP per capita constant 2010 dollars,Capital investment as percent of GDP,Capital investment billion USD,Household consumption as percent of GDP,Household consumption billion USD,Labor force million people,Government spending as percent of GDP,Government spending billion USD,Tax revenue percent of GDP,Population growth percent,Happiness Index 0 (unhappy) - 10 (happy),Economic growth: the rate of change of real GDP,Gross Domestic Product billions of 2010 U.S. dollars,Unemployment rate,Exports of goods and services billion USD,Exports of goods and services annual growth,Imports of goods and services billion USD,Current account balance billion USD,Research and development expenditure percent of GDP,Public spending on education percent of GDP,ranking index
Argentina,ARG,SA,2017,13595.04,18.21,117.22,66.74,429.55,19.58,17.7,113.9,10.94,1.04,6.6,2.82,598.8,8.35,72.86,2.62,89.91,-31.15,0.56,5.45,116
Argentina,ARG,SA,2018,13105.4,16.61,87.19,69.47,364.59,20.1,15.81,82.95,9.99,1.02,6.39,-2.62,583.1,9.22,75.77,0.65,85.68,-27.08,0.49,4.88,126
Argentina,ARG,SA,2019,12716.22,14.21,63.63,66.13,296.09,20.61,16.44,73.63,10.59,0.99,6.09,-2.0,571.5,9.84,80.26,9.75,65.85,-3.49,0.46,4.72,128
Argentina,ARG,SA,2020,11341.27,14.13,54.48,63.79,245.94,19.41,16.89,65.12,10.87,0.97,5.93,-9.94,514.6,11.46,64.04,-17.71,52.47,3.12,,5.02,128
Argentina,ARG,SA,2021,12402.49,17.47,85.14,60.89,296.69,21.19,15.84,77.19,11.48,0.95,5.97,10.4,568.1,8.74,87.87,9.22,72.82,6.71,,,133
Argentina,ARG,SA,2022,12932.47,17.31,109.5,63.68,402.97,21.42,15.58,98.6,,0.93,6.02,5.24,597.9,6.49,106.17,5.71,96.8,-3.79,,,132
Australia,AUS,OC,2017,57701.52,24.11,319.78,55.56,736.98,13.01,19.82,262.93,22.09,1.65,7.28,2.28,1419.1,5.59,281.62,5.5,274.85,-35.57,1.88,5.14,1110
Australia,AUS,OC,2018,58479.5,24.56,350.77,55.19,788.22,13.31,19.9,284.16,23.2,1.5,7.27,2.88,1460.0,5.3,312.41,4.11,307.31,-31.61,,5.12,1167
Australia,AUS,OC,2019,58868.48,23.3,324.42,53.96,751.25,13.59,20.26,282.07,23.41,1.49,7.23,2.17,1491.7,5.16,336.24,3.9,301.77,6.18,1.83,5.14,1187
Australia,AUS,OC,2020,58115.93,22.25,295.19,52.23,693.05,13.59,21.74,288.51,22.61,1.24,7.18,-0.05,1491.0,6.46,318.58,-1.65,268.38,32.52,,6.1,1218
Australia,AUS,OC,2021,59339.68,22.76,353.43,50.66,786.53,13.81,22.3,346.28,23.13,0.13,7.16,2.24,1524.3,5.12,342.76,-8.37,276.3,50.8,,,1228
Australia,AUS,OC,2022,60797.96,23.25,389.51,48.78,817.2,14.11,22.01,368.84,,1.13,7.09,3.62,1579.5,3.66,432.46,-0.1,334.11,19.55,,,1233
Austria,AUT,EU,2017,45281.72,24.84,103.64,52.51,219.1,4.61,19.49,81.32,25.42,0.69,7.01,2.26,398.4,5.5,225.53,4.9,212.33,5.65,3.06,5.37,63
Austria,AUT,EU,2018,46154.63,25.73,117.05,51.93,236.29,4.64,19.34,87.99,25.42,0.49,7.14,2.43,408.0,4.85,252.35,5.2,238.69,4.38,3.09,5.22,64
Austria,AUT,EU,2019,46647.08,25.35,112.71,51.55,229.21,4.66,19.46,86.52,25.58,0.44,7.25,1.52,414.2,4.49,247.91,3.98,231.78,10.64,3.13,5.21,27
Austria,AUT,EU,2020,43455.7,25.65,111.62,50.17,218.35,4.64,21.07,91.7,24.41,0.42,7.27,-6.45,387.5,5.36,224.63,-10.65,211.57,12.9,3.2,5.07,55
Austria,AUT,EU,2021,45238.39,27.78,133.44,49.87,239.55,4.69,21.69,104.19,25.78,0.44,7.16,4.56,405.1,6.18,268.53,9.59,265.75,1.63,,,60
