Country,Code,ContinentCode,Year,GDP per capita constant 2010 dollars,Capital investment as percent of GDP,Capital investment billion USD,Household consumption as percent of GDP,Household consumption billion USD,Labor force million people,Government spending as percent of GDP,Government spending billion USD,Population growth percent,Happiness Index 0 (unhappy) - 10 (happy)
Argentina,ARG,SA,2017,13595.04,18.21,117.22,66.74,429.55,19.58,17.7,113.9,1.04,6.6
Argentina,ARG,SA,2018,13105.4,16.61,87.19,69.47,364.59,20.1,15.81,82.95,1.02,6.39
Argentina,ARG,SA,2019,12716.22,14.21,63.63,66.13,296.09,20.61,16.44,73.63,0.99,6.09
Argentina,ARG,SA,2020,11341.27,14.13,54.48,63.79,245.94,19.41,16.89,65.12,0.97,5.93
Argentina,ARG,SA,2021,12402.49,17.47,85.14,60.89,296.69,21.19,15.84,77.19,0.95,5.97
Argentina,ARG,SA,2022,12932.47,17.31,109.5,63.68,402.97,21.42,15.58,98.6,0.93,6.02
Australia,AUS,OC,2017,57701.52,24.11,319.78,55.56,736.98,13.01,19.82,262.93,1.65,7.28
Australia,AUS,OC,2018,58479.5,24.56,350.77,55.19,788.22,13.31,19.9,284.16,1.5,7.27
Australia,AUS,OC,2019,58868.48,23.3,324.42,53.96,751.25,13.59,20.26,282.07,1.49,7.23
Australia,AUS,OC,2020,58115.93,22.25,295.19,52.23,693.05,13.59,21.74,288.51,1.24,7.18
Australia,AUS,OC,2021,59339.68,22.76,353.43,50.66,786.53,13.81,22.3,346.28,0.13,7.16
Australia,AUS,OC,2022,60797.96,23.25,389.51,48.78,817.2,14.11,22.01,368.84,1.13,7.09
Austria,AUT,EU,2017,45281.72,24.84,103.64,52.51,219.1,4.61,19.49,81.32,0.69,7.01
Austria,AUT,EU,2018,46154.63,25.73,117.05,51.93,236.29,4.64,19.34,87.99,0.49,7.14
Austria,AUT,EU,2019,46647.08,25.35,112.71,51.55,229.21,4.66,19.46,86.52,0.44,7.25
Austria,AUT,EU,2020,43455.7,25.65,111.62,50.17,218.35,4.64,21.07,91.7,0.42,7.27
Austria,AUT,EU,2021,45238.39,27.78,133.44,49.87,239.55,4.69,21.69,104.19,0.44,7.16
Austria,AUT,EU,2022,47043.34,27.4,129.14,50.68,238.9,4.77,20.51,96.67,0.96,7.1
Belgium,BEL,EU,2017,41825.76,24.46,122.96,51.47,258.78,5.09,23.03,115.8,0.39,6.89
Belgium,BEL,EU,2018,42382.32,25.42,138.08,51.78,281.31,5.14,23.14,125.73,0.46,6.93
Belgium,BEL,EU,2019,43107.21,25,133.97,51.33,275.06,5.19,23.04,123.47,0.54,6.92
Belgium,BEL,EU,2020,40620.11,24.28,127.51,49.41,259.51,5.17,24.6,129.19,0.43,6.83
Belgium,BEL,EU,2021,42971.06,26.02,154.65,48.91,290.67,5.26,24.02,142.79,0.47,6.8
Belgium,BEL,EU,2022,44075.86,27.66,160.04,50.58,292.64,5.35,24.18,139.91,0.66,6.86
Brazil,BRA,SA,2017,8470.94,14.63,301.8,64.49,1330.85,104.08,20.16,416.04,0.79,6.64
Brazil,BRA,SA,2018,8553.87,15.1,289.36,64.62,1238.65,105.44,19.9,381.38,0.79,6.42
Brazil,BRA,SA,2019,8592.21,15.52,290.67,65.14,1220.34,107.42,19.98,374.35,0.77,6.3
Brazil,BRA,SA,2020,8255.57,16.12,237.89,63.14,932.07,100.64,20.14,297.22,0.67,6.33
Brazil,BRA,SA,2021,8621.73,19.43,320.44,61.02,1006.52,105.43,18.62,307.12,0.53,6.29
Brazil,BRA,SA,2022,8831.13,18.14,348.37,63.07,1211.04,108.38,18.03,346.27,0.46,6.12
Canada,CAN,NA,2017,44325.49,23.55,388.41,57.98,956.18,20.14,20.7,341.45,1.2,7.32
Canada,CAN,NA,2018,44917.48,23.38,403.33,57.89,998.72,20.34,20.68,356.82,1.41,7.33
Canada,CAN,NA,2019,45113.07,23.04,401.8,57.75,1007.08,20.76,20.66,360.31,1.44,7.28
Canada,CAN,NA,2020,42366.49,22.26,366.7,57.19,942.31,20.47,22.81,375.76,1.07,7.1
Canada,CAN,NA,2021,44234.54,23.81,476.46,54.4,1088.75,20.96,21.86,437.54,0.58,7.03
Canada,CAN,NA,2022,44910.44,24.54,525.21,54.26,1161.03,21.34,20.98,448.87,1.82,6.96
Chile,CHL,SA,2017,13615.52,22.64,62.56,62.08,171.56,8.87,14.65,40.48,1.56,6.65
Chile,CHL,SA,2018,13906.77,24.2,71.5,62.06,183.33,9.06,14.86,43.89,1.8,6.48
