Country or Area,Year,Sex,Reliability,Total,Urban,Urban Rate
Afghanistan,2016,Both Sexes,"Final figure, incomplete/questionable reliability",27657145.0,6919560.0,0.25019068309473014
Afghanistan,2017,Both Sexes,"Final figure, incomplete/questionable reliability",28224323.0,7148224.0,0.25326467529442603
Afghanistan,2018,Both Sexes,"Final figure, incomplete/questionable reliability",30075018.0,7507953.0,0.249640848095253
Afghanistan,2019,Both Sexes,"Final figure, incomplete/questionable reliability",30725560.0,7761765.0,0.25261590024722086
Afghanistan,2020,Both Sexes,"Final figure, incomplete/questionable reliability",31390171.0,8023928.0,0.255619123578524
Afghanistan,2021,Both Sexes,"Final figure, incomplete/questionable reliability",32069160.0,8294708.0,0.2586506163554019
Afghanistan,2022,Both Sexes,"Final figure, incomplete/questionable reliability",32762836.0,8574372.0,0.26171031103656595
Albania,2016,Both Sexes,"Final figure, complete",2881063.5,,
Albania,2017,Both Sexes,"Final figure, complete",2875024.0,,
Albania,2018,Both Sexes,"Final figure, complete",2868350.0,,
Albania,2019,Both Sexes,"Final figure, complete",2858309.0,,
Albania,2020,Both Sexes,"Final figure, complete",2841902.0,,
Albania,2021,Both Sexes,"Final figure, complete",2820703.5,,
Albania,2022,Both Sexes,"Final figure, complete",2793592.0,,
Algeria,2016,Both Sexes,"Final figure, incomplete/questionable reliability",40835602.0,,
Algeria,2017,Both Sexes,"Final figure, incomplete/questionable reliability",41695626.0178496,,
Algeria,2018,Both Sexes,"Final figure, incomplete/questionable reliability",42577723.0,,
Algeria,2019,Both Sexes,"Final figure, incomplete/questionable reliability",43413000.0,,
Algeria,2020,Both Sexes,"Final figure, incomplete/questionable reliability",44226000.0,,
American Samoa,2016,Both Sexes,"Final figure, complete",60200.0,,
American Samoa,2017,Both Sexes,"Final figure, complete",60300.0,,
American Samoa,2018,Both Sexes,"Final figure, complete",59600.0,,
American Samoa,2019,Both Sexes,"Final figure, complete",58500.0,,
American Samoa,2020,Both Sexes,"Final figure, complete",57637.0,,
Andorra,2016,Both Sexes,"Final figure, complete",72045.0,,
Andorra,2017,Both Sexes,"Final figure, complete",73105.0,,
Andorra,2018,Both Sexes,"Final figure, complete",74794.0,,
Andorra,2019,Both Sexes,"Final figure, complete",76177.0,,
Andorra,2020,Both Sexes,"Final figure, complete",77543.0,,
Andorra,2021,Both Sexes,"Final figure, complete",78015.0,,
Andorra,2022,Both Sexes,"Final figure, complete",79535.0,,
Angola,2016,Both Sexes,"Final figure, incomplete/questionable reliability",27503526.0,17310474.0,0.6293910824379391
Angola,2017,Both Sexes,"Final figure, incomplete/questionable reliability",28359634.0,17881283.0,0.6305188212231512
Angola,2018,Both Sexes,"Final figure, incomplete/questionable reliability",29250009.0,18473609.0,0.6315761817372433
Angola,2019,Both Sexes,"Final figure, incomplete/questionable reliability",30175553.0,19087816.0,0.6325589459785542
